ind_number,ind_abbrev,ind_desc,SIC_code_low,SIC_code_high,SIC_desc
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",100,999,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2000,2399,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2700,2749,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",2770,2799,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",3100,3199,NA
1,NoDur,"Consumer NonDurables -- Food, Tobacco, Textiles, Apparel, Leather, Toys",3940,3989,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",2500,2519,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",2590,2599,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3630,3659,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3710,3711,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3714,3714,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3716,3716,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3750,3751,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3792,3792,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3900,3939,NA
2,Durbl,"Consumer Durables -- Cars, TV's, Furniture, Household Appliances",3990,3999,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2520,2589,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2600,2699,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",2750,2769,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3000,3099,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3200,3569,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3580,3629,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3700,3709,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3712,3713,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3715,3715,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3717,3749,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3752,3791,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3793,3799,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3830,3839,NA
3,Manuf,"Manufacturing -- Machinery, Trucks, Planes, Off Furn, Paper, Com Printing",3860,3899,NA
4,Enrgy,"Oil, Gas, and Coal Extraction and Products",1200,1399,NA
4,Enrgy,"Oil, Gas, and Coal Extraction and Products",2900,2999,NA
5,Chems,Chemicals and Allied Products,2800,2829,NA
5,Chems,Chemicals and Allied Products,2840,2899,NA
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",3570,3579,NA
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",3660,3692,NA
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",3694,3699,NA
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",3810,3829,NA
6,BusEq,"Business Equipment -- Computers, Software, and Electronic Equipment",7370,7379,NA
7,Telcm,Telephone and Television Transmission,4800,4899,NA
8,Utils,Utilities,4900,4949,NA
9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",5000,5999,NA
9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",7200,7299,NA
9,Shops,"Wholesale, Retail, and Some Services (Laundries, Repair Shops)",7600,7699,NA
10,Hlth,"Healthcare, Medical Equipment, and Drugs",2830,2839,NA
10,Hlth,"Healthcare, Medical Equipment, and Drugs",3693,3693,NA
10,Hlth,"Healthcare, Medical Equipment, and Drugs",3840,3859,NA
10,Hlth,"Healthcare, Medical Equipment, and Drugs",8000,8099,NA
11,Money,Finance,6000,6999,NA
12,Other,"Other -- Mines, Constr, BldMt, Trans, Hotels, Bus Serv, Entertainment",NA,NA,NA
